File Name,Category,Entropy_R_baseline,Entropy_G_baseline,Entropy_B_baseline,entropi_baseline,Entropy_R_optimized,Entropy_G_optimized,Entropy_B_optimized,entropi_optimized,selisih
I80_18_02.png,high,7.99914,7.9991,7.99895,7.99907,7.99896,7.99911,7.99903,7.99904,-2.9999999999752447e-05
I81_18_03.png,high,7.99902,7.99912,7.99899,7.99904,7.99918,7.99887,7.99898,7.99901,-2.9999999999752447e-05
I01_25_05.png,medium,7.99892,7.99909,7.99888,7.99897,7.99919,7.99909,7.99896,7.99908,0.00011000000000027654
I02_14_02.png,medium,7.99918,7.99911,7.99906,7.99912,7.99912,7.99904,7.99899,7.99905,-6.999999999912632e-05
I04_14_03.png,medium,7.999,7.99918,7.99911,7.9991,7.99907,7.99917,7.99903,7.99909,-1.0000000000509601e-05
I04_21_04.png,medium,7.99906,7.99902,7.99897,7.99902,7.9991,7.99914,7.99916,7.99913,0.00011000000000027654
I05_13_02.png,medium,7.99912,7.99906,7.99904,7.99907,7.99921,7.99905,7.99897,7.99908,1.0000000000509601e-05
I06_11_04.png,medium,7.99912,7.9991,7.99916,7.99913,7.99915,7.99907,7.99916,7.99913,0.0
I09_02_01.png,medium,7.99894,7.99905,7.99913,7.99904,7.99906,7.99909,7.99902,7.99906,2.0000000000131024e-05
I10_25_02.png,medium,7.99902,7.99912,7.99911,7.99908,7.99906,7.99913,7.99909,7.99909,9.999999999621423e-06
I19_25_05.png,medium,7.999,7.99899,7.99901,7.999,7.9991,7.99898,7.99901,7.99903,3.0000000000640625e-05
I23_08_02.png,medium,7.99894,7.99929,7.99899,7.99907,7.99906,7.99909,7.99919,7.99911,4.000000000026205e-05
I24_25_05.png,medium,7.99912,7.99901,7.99915,7.99909,7.9989,7.99898,7.99908,7.99899,-9.999999999976694e-05
I32_05_02.png,medium,7.99919,7.99912,7.999,7.9991,7.99915,7.99898,7.99903,7.99905,-4.999999999988347e-05
I32_16_03.png,medium,7.99909,7.99899,7.99893,7.999,7.99899,7.9991,7.99907,7.99905,5.000000000077165e-05
I37_11_01.png,medium,7.99894,7.99913,7.99913,7.99906,7.99897,7.99915,7.999,7.99904,-2.0000000000131024e-05
I44_07_01.png,medium,7.99908,7.99912,7.99906,7.99909,7.99899,7.99896,7.99922,7.99906,-2.9999999999752447e-05
I44_13_04.png,medium,7.99911,7.99883,7.99904,7.99899,7.99902,7.99915,7.99922,7.99913,0.000140000000000029
I48_13_03.png,medium,7.99907,7.99894,7.99911,7.99904,7.99893,7.99912,7.99903,7.99903,-9.999999999621423e-06
I49_08_04.png,medium,7.999,7.99913,7.99895,7.99903,7.9989,7.99902,7.99903,7.99898,-4.999999999988347e-05
I53_21_03.png,medium,7.99913,7.99918,7.99911,7.99914,7.99908,7.99904,7.99914,7.99909,-4.999999999988347e-05
I56_25_04.png,medium,7.99917,7.99903,7.99916,7.99912,7.99912,7.99916,7.99902,7.9991,-1.9999999999242846e-05
I57_16_03.png,medium,7.99896,7.99895,7.99901,7.99897,7.9991,7.99911,7.99905,7.99909,0.00011999999999989797
I60_13_04.png,medium,7.99892,7.99904,7.999,7.99899,7.9991,7.99909,7.99913,7.99911,0.00011999999999989797
I61_22_05.png,medium,7.99919,7.99896,7.99906,7.99907,7.99898,7.99914,7.9991,7.99908,1.0000000000509601e-05
