File Name,Category,Corr_Horizontal_R_baseline,Corr_Horizontal_G_baseline,Corr_Horizontal_B_baseline,Corr_Horizontal_baseline,Corr_Horizontal_R_optimized,Corr_Horizontal_G_optimized,Corr_Horizontal_B_optimized,Corr_Horizontal_optimized,selisih_horizontal,Corr_Vertical_R_baseline,Corr_Vertical_G_baseline,Corr_Vertical_B_baseline,Corr_Vertical_baseline,Corr_Vertical_R_optimized,Corr_Vertical_G_optimized,Corr_Vertical_B_optimized,Corr_Vertical_optimized,selisih_vertical,Corr_Diagonal_R_baseline,Corr_Diagonal_G_baseline,Corr_Diagonal_B_baseline,Corr_Diagonal_baseline,Corr_Diagonal_R_optimized,Corr_Diagonal_G_optimized,Corr_Diagonal_B_optimized,Corr_Diagonal_optimized,selisih_diagonal
I24_25_05.png,medium,-0.00081,-0.00162,-0.00136,-0.00126,0.00061,2e-05,-0.0007,-2e-05,0.00124,0.00278,0.0008,0.00119,0.00159,4e-05,0.00087,-0.00032,0.0002,0.00139,-0.00051,-0.00011,-0.0048,-0.00181,0.0031,0.00022,-9e-05,0.00108,0.00289
I32_05_02.png,medium,0.00506,-0.00072,-0.00344,0.0003,0.00079,0.00023,-0.001,1e-05,0.00028999999999999995,-0.00159,0.00182,-0.00218,-0.00065,0.00114,-0.00117,-0.00036,-0.00013,0.00052,0.00106,-0.00108,0.00122,0.0004,-0.00075,0.00081,-0.00065,-0.0002,0.0006000000000000001
I32_16_03.png,medium,0.00026,-0.00131,0.00134,0.0001,-0.00106,0.00093,-0.00027,-0.00013,0.00023,-0.00157,0.001,0.00182,0.00042,-5e-05,-0.00086,-0.00068,-0.00053,0.00095,0.00017,-0.00148,0.00059,-0.00024,-0.00078,0.00051,0.00191,0.00055,0.00079
I37_11_01.png,medium,-0.00113,0.00482,-0.00061,0.00103,-0.00063,0.00182,0.00022,0.00047,0.0005600000000000002,-0.00109,-0.00124,0.00013,-0.00073,0.00015,0.00057,0.00015,0.00029,0.00102,-0.00075,0.00082,0.00191,0.00066,0.00066,0.0004,-0.00047,0.0002,0.00046
I44_07_01.png,medium,-0.00295,0.00362,0.00098,0.00055,0.00175,0.00177,0.00036,0.00129,0.0007399999999999999,0.00367,-0.00186,0.00126,0.00103,-0.00179,-1e-05,-0.00017,-0.00066,0.00169,0.0061,0.00057,-0.00016,0.00217,0.00027,-0.00011,0.00052,0.00023,0.00194
I44_13_04.png,medium,0.00117,-0.00182,-0.00245,-0.00103,0.00012,0.00051,0.00012,0.00025,0.00128,-0.00105,0.00228,-0.00038,0.00029,0.00204,0.00012,-0.00048,0.00056,0.00026999999999999995,0.00147,0.00461,0.00436,0.00348,0.00012,0.00257,0.00032,0.001,0.00248
I48_13_03.png,medium,-0.00319,0.00311,0.00398,0.0013,-0.00068,-0.0007,2e-05,-0.00046,0.0017599999999999998,-0.00478,-0.00217,0.0001,-0.00228,0.00126,0.00075,-0.00064,0.00045,0.00273,0.00288,0.00098,0.00092,0.00159,-0.00034,0.00157,-0.00069,0.00018,0.00141
I49_08_04.png,medium,-0.00288,4e-05,-0.00069,-0.00118,-0.00044,2e-05,0.00092,0.00017,0.00135,-0.00398,-0.00029,-0.00107,-0.00178,0.00026,6e-05,0.0035,0.00127,0.0030499999999999998,0.00155,-0.00031,-0.00133,-3e-05,5e-05,-0.00049,0.00089,0.00015,0.00017999999999999998
I53_21_03.png,medium,-0.00266,0.00219,-0.00354,-0.00134,-0.00026,0.00079,0.00095,0.00049,0.00183,-0.0023,0.00498,0.00091,0.00119,-0.00091,7e-05,0.00138,0.00018,0.00101,0.00038,-0.00087,-0.0007,-0.0004,-0.00122,0.00103,0.00082,0.00021,0.0006100000000000001
I56_25_04.png,medium,-0.00164,0.00055,-5e-05,-0.00038,8e-05,-0.00028,0.00031,4e-05,0.00042,0.00075,0.00272,-0.00187,0.00053,0.00046,-0.00108,-0.00082,-0.00048,0.00101,-0.00066,-0.00217,0.00161,-0.00041,0.00066,0.00043,-0.00116,-2e-05,0.00039
I57_16_03.png,medium,0.00169,0.00056,-0.00355,-0.00043,-0.00049,-0.00028,0.00105,9e-05,0.00052,-0.00232,0.00301,0.00125,0.00065,0.0003,-0.0009,0.0004,-7e-05,0.0007199999999999999,-0.00038,0.00196,-0.00183,-8e-05,0.00149,-0.00105,0.00022,0.00022,0.00030000000000000003
I60_13_04.png,medium,0.00052,-0.00147,-0.00152,-0.00082,-0.00159,-0.00046,-0.00054,-0.00086,3.9999999999999996e-05,-0.00353,0.00024,0.00222,-0.00036,-0.00107,-5e-05,0.00055,-0.00019,0.00017,0.00043,0.00246,-0.00022,0.00089,-0.00164,-0.00103,-0.00029,-0.00099,0.00188
I61_22_05.png,medium,0.0039,0.00304,-0.00139,0.00185,0.0004,-0.00062,0.00029,2e-05,0.00183,-0.00018,-0.00204,-0.00086,-0.00103,-0.00109,-0.00154,-0.00016,-0.00093,0.00010000000000000005,-0.00085,0.00043,0.00238,0.00065,-0.00019,5e-05,-0.00069,-0.00028,0.0009299999999999999
I62_12_04.png,medium,0.00148,-0.00197,0.00045,-1e-05,-0.00031,0.00127,0.00037,0.00044,0.00045000000000000004,0.00142,0.00024,-0.00222,-0.00019,0.00065,-0.00164,0.0011,3e-05,0.00022,0.00256,0.00014,0.00254,0.00175,0.00069,-0.00066,-1e-05,0.0,0.00175
I65_13_01.png,medium,0.002,-0.00074,0.0001,0.00045,3e-05,-0.00017,-0.00138,-0.00051,0.00096,0.00021,0.00082,0.00278,0.00127,-0.00023,-0.00032,0.00083,0.0001,0.00117,-0.00269,3e-05,0.00114,-0.00051,0.00224,0.00072,0.00055,0.00117,0.00168
I71_12_02.png,medium,0.00035,-0.0026,0.00048,-0.00059,0.00027,-0.00022,-3e-05,0.0,0.00059,-0.00033,-0.00166,0.00155,-0.00015,0.00163,0.00175,-0.00046,0.00098,0.00113,-0.00217,0.00254,0.00091,0.00043,0.00126,0.00096,-3e-05,0.00073,0.0003
I73_03_03.png,medium,0.00413,-0.00097,-0.00171,0.00048,0.00016,6e-05,-0.00085,-0.00021,0.0006900000000000001,-0.00059,-0.00188,0.00025,-0.00074,0.00042,-0.00051,-8e-05,-6e-05,0.0006799999999999999,0.0017,0.00168,0.00354,0.00231,-0.00052,0.00011,-0.00217,-0.00086,0.00317
I75_07_01.png,medium,0.00213,0.00092,4e-05,0.00103,0.00027,0.00098,0.00122,0.00082,0.00021000000000000012,8e-05,-0.00399,0.00185,-0.00069,0.00134,-0.00044,-0.00012,0.00026,0.0009499999999999999,0.00301,-3e-05,-0.00096,0.00068,0.00118,0.00146,0.00029,0.00097,0.00029
I79_05_04.png,medium,-0.00356,-0.0008,0.00049,-0.00129,0.00072,0.00071,-0.00014,0.00043,0.00172,-0.00064,-0.00432,-0.00119,-0.00205,-0.00023,0.00162,-0.00028,0.00037,0.0024200000000000003,-0.00216,0.00179,0.00196,0.00053,-0.00028,2e-05,-0.00199,-0.00075,0.0012799999999999999
I81_13_01.png,medium,-0.00301,0.00421,0.0011,0.00077,0.00059,0.00062,-0.00073,0.00016,0.00061,0.00444,0.00125,-0.00255,0.00105,-0.00022,0.00106,-0.00091,-2e-05,0.00107,-0.00065,0.00252,0.00069,0.00085,0.00011,0.00176,0.0006,0.00082,2.999999999999997e-05
I02_01_05.png,low,-0.00309,0.00295,-0.00075,-0.0003,0.00054,-0.00018,0.00033,0.00023,0.00053,0.00214,0.0007,-0.00466,-0.00061,-0.00052,-0.0005,-0.00155,-0.00086,0.00025,-0.0022,0.00054,-0.00213,-0.00126,0.0028,-0.00122,8e-05,0.00055,0.00181
I02_08_04.png,low,-0.00153,-0.00039,-0.00354,-0.00182,0.00088,0.00023,-0.00167,-0.00019,0.00163,0.00112,-0.00094,-0.00689,-0.00224,0.00034,-0.00148,0.00062,-0.00017,0.00207,0.00246,-0.0003,0.00079,0.00098,-0.00077,-0.00027,-0.00116,-0.00073,0.00171
I05_03_05.png,low,0.00204,-0.00018,0.00141,0.00109,0.00022,0.00035,-0.0002,0.00012,0.00097,0.00326,0.00254,0.00338,0.00306,-0.00136,0.00038,0.00055,-0.00014,0.0031999999999999997,3e-05,-0.00273,-0.00214,-0.00161,-0.00149,0.0017,-0.00047,-9e-05,0.00152
I08_04_04.png,low,0.00098,-0.00224,0.00225,0.00033,-0.00057,-0.00022,0.00123,0.00015,0.00018,-0.00024,-0.00082,-0.00052,-0.00053,1e-05,-0.00299,2e-05,-0.00099,0.00046,0.0009,-0.00333,0.00469,0.00075,0.00092,-0.00036,0.00042,0.00033,0.00042
