File Name,Category,Entropy_R,Corr_Horizontal_R,Corr_Vertical_R,Corr_Diagonal_R,NPCR_R (%),UACI_R (%),Entropy_G,Corr_Horizontal_G,Corr_Vertical_G,Corr_Diagonal_G,NPCR_G (%),UACI_G (%),Entropy_B,Corr_Horizontal_B,Corr_Vertical_B,Corr_Diagonal_B,NPCR_B (%),UACI_B (%),Entropy,Corr_Horizontal,Corr_Vertical,Corr_Diagonal,NPCR (%),UACI (%),MSE_Dec,PSNR_Dec,Enc_Time (s),Dec_Time (s),Lossless
I80_18_02.png,high,7.99914,0.0017,-0.00065,0.00142,99.25028,33.43383,7.9991,0.00121,-0.00028,-0.00234,99.25486,33.44607,7.99895,-0.00353,-0.00226,-0.002,99.27063,33.39876,7.99907,-0.00021,-0.00106,-0.00097,99.25859,33.42622,0.0,inf,0.442,0.4409,True
I81_18_03.png,high,7.99902,0.00112,-0.00424,-0.00391,98.89984,33.38062,7.99912,-0.00153,0.00353,0.00349,98.89272,33.41692,7.99899,-0.0003,0.00222,-0.00487,98.90544,33.38933,7.99904,-0.00024,0.0005,-0.00176,98.89933,33.39562,0.0,inf,0.4463,0.4375,True
I01_25_05.png,medium,7.99892,-0.00102,-0.002,0.00322,98.87695,33.4747,7.99909,-0.00573,-0.00036,-0.00332,98.93697,33.40163,7.99888,0.00188,-0.00094,0.00026,98.91968,33.44099,7.99897,-0.00162,-0.0011,5e-05,98.9112,33.43911,0.0,inf,0.4251,0.4253,True
I02_14_02.png,medium,7.99918,-0.00035,-2e-05,0.00055,99.09058,33.57198,7.99911,-0.00138,-0.00129,-0.00251,99.05243,33.45885,7.99906,0.00039,0.00056,-0.00131,99.04836,33.46601,7.99912,-0.00045,-0.00025,-0.00109,99.06379,33.49895,0.0,inf,0.4377,0.4374,True
I04_14_03.png,medium,7.999,-0.00058,-0.0029,-0.00088,99.14653,33.56178,7.99918,0.0014,0.0021,-0.00283,99.17094,33.47299,7.99911,0.00049,-0.00117,-0.0011,99.16687,33.38623,7.9991,0.00043,-0.00066,-0.0016,99.16144,33.47367,0.0,inf,0.446,0.4379,True
I04_21_04.png,medium,7.99906,-0.00121,0.00232,-0.00017,99.06311,33.53333,7.99902,9e-05,0.0021,-0.00224,99.08803,33.48451,7.99897,0.00189,-0.00301,-0.00056,99.09312,33.4198,7.99902,0.00025,0.00047,-0.00099,99.08142,33.47922,0.0,inf,0.4615,0.4511,True
I05_13_02.png,medium,7.99912,0.00162,-0.0026,1e-05,98.97919,33.50019,7.99906,-0.00203,-0.00286,0.00025,99.00818,33.48916,7.99904,-0.00125,-0.00252,-0.00085,98.99394,33.48145,7.99907,-0.00055,-0.00266,-0.0002,98.99377,33.49027,0.0,inf,0.4459,0.4321,True
I06_11_04.png,medium,7.99912,-0.00112,-0.00016,-0.00026,99.44356,33.3669,7.9991,0.00246,-0.00196,0.00266,99.42271,33.46565,7.99916,-0.00287,0.00293,0.00112,99.45577,33.40857,7.99913,-0.00051,0.00027,0.00117,99.44068,33.41371,0.0,inf,0.429,0.4266,True
I09_02_01.png,medium,7.99894,0.00573,-0.00273,0.00461,99.48425,33.40953,7.99905,2e-05,-0.00165,0.00309,99.49595,33.45162,7.99913,-0.00285,0.00309,-0.00525,99.46493,33.43727,7.99904,0.00097,-0.00043,0.00082,99.48171,33.43281,0.0,inf,0.4386,0.4749,True
I10_25_02.png,medium,7.99902,0.00232,0.00154,-0.00107,98.94918,33.4252,7.99912,0.00343,0.00028,-0.0005,98.97461,33.41366,7.99911,-0.00234,-0.00165,-0.00081,98.97512,33.40264,7.99908,0.00114,6e-05,-0.00079,98.9663,33.41383,0.0,inf,0.4335,0.4288,True
