File Name,Category,Best_Fitness,Opt_r_min,Opt_eps,Opt_T0,Opt_Q,Entropy_R,Corr_Horizontal_R,Corr_Vertical_R,Corr_Diagonal_R,NPCR_R (%),UACI_R (%),Entropy_G,Corr_Horizontal_G,Corr_Vertical_G,Corr_Diagonal_G,NPCR_G (%),UACI_G (%),Entropy_B,Corr_Horizontal_B,Corr_Vertical_B,Corr_Diagonal_B,NPCR_B (%),UACI_B (%),Entropy,Corr_Horizontal,Corr_Vertical,Corr_Diagonal,NPCR (%),UACI (%),Enc_Time (s),Dec_Time (s),HO_Time (s),Lossless
I57_16_03.png,medium,0.000413,3.99,0.0,3000,115,7.99895,-0.0008,0.00121,-0.00129,99.40847,33.35434,7.99905,0.0,-0.00058,0.00043,99.41305,33.51099,7.9991,-0.00069,0.00044,-0.0009,99.44204,33.42808,7.99903,-0.0005,0.00036,-0.00059,99.42118,33.43114,0.4156,0.4144,521.82,True
I60_13_04.png,medium,0.000347,3.99,0.00982,500,1,7.9992,0.00126,9e-05,0.00023,98.9858,33.47515,7.99917,1e-05,-0.0002,-0.00133,99.01835,33.42369,7.99917,0.00012,-0.00042,-0.00166,98.96037,33.45728,7.99918,0.00046,-0.00018,-0.00092,98.98817,33.45204,0.4179,0.4242,521.38,True
I61_22_05.png,medium,0.000337,3.57,0.01,500,7,7.99898,0.0004,-0.00109,-0.00019,98.91307,33.45356,7.99914,-0.00062,-0.00154,5e-05,98.87746,33.42877,7.9991,0.00029,-0.00016,-0.00069,98.86983,33.42231,7.99908,2e-05,-0.00093,-0.00028,98.88679,33.43488,0.4041,0.4073,521.84,True
I62_12_04.png,medium,0.000445,3.99,0.00741,1082,172,7.99909,-0.00143,0.00011,-9e-05,99.21875,33.37391,7.99911,1e-05,0.00096,0.00028,99.2218,33.45758,7.99897,0.00021,0.00058,0.00327,99.19383,33.4485,7.99906,-0.0004,0.00055,0.00115,99.21146,33.42666,0.4146,0.4146,522.13,True
I65_13_01.png,medium,0.000388,3.61263,9e-05,525,4,7.99918,-0.00063,-0.00033,0.00095,98.8678,33.44921,7.99901,0.00076,0.0007,-0.00108,98.87594,33.48348,7.99908,-0.00058,0.00059,-0.00036,98.91052,33.47886,7.99909,-0.00015,0.00032,-0.00016,98.88475,33.47052,0.409,0.4167,522.71,True
I71_12_02.png,medium,0.000407,3.88194,0.00302,2606,112,7.99904,-0.00085,-0.00036,0.00173,99.45475,33.51908,7.99926,0.00052,-4e-05,8e-05,99.44814,33.49727,7.99901,0.00117,-0.00042,-0.00115,99.48374,33.43688,7.99911,0.00028,-0.00027,0.00022,99.46221,33.48441,0.4134,0.4346,522.01,True
I73_03_03.png,medium,0.000392,3.66197,0.01,523,14,7.99897,-0.00109,-0.00025,-0.00226,99.15161,33.46397,7.99916,0.00037,0.00054,-0.00039,99.12771,33.4191,7.99909,-0.00042,0.00026,0.00046,99.13686,33.41395,7.99907,-0.00038,0.00018,-0.00073,99.13873,33.43234,0.4162,0.4147,521.87,True
I75_07_01.png,medium,0.000398,3.99,0.00933,1586,234,7.99902,0.00131,-0.00058,-0.00137,99.26656,33.49931,7.99918,6e-05,-0.00127,3e-05,99.22282,33.47479,7.99916,0.00076,-0.00063,0.00016,99.22536,33.42842,7.99912,0.00071,-0.00083,-0.00039,99.23825,33.4675,0.4031,0.4171,521.19,True
I79_05_04.png,medium,0.000383,3.57,0.00937,500,239,7.99899,-0.00059,0.00016,-0.00063,99.27775,33.56076,7.99892,0.00178,-0.00022,-0.00088,99.22231,33.39129,7.99896,0.00054,0.00026,-0.00067,99.25385,33.49339,7.99896,0.00058,7e-05,-0.00073,99.2513,33.48181,0.4195,0.4153,532.54,True
I81_13_01.png,medium,0.00046,3.57416,1e-05,502,1,7.99918,0.00023,0.00182,0.00076,99.16738,33.42517,7.999,0.00018,0.00147,-0.00062,99.16026,33.4797,7.9989,-0.00051,0.00096,0.00064,99.15721,33.43659,7.99903,-3e-05,0.00142,0.00026,99.16161,33.44715,0.4037,0.4143,521.9,True
