File Name,Category,Best_Fitness,Opt_r_min,Opt_eps,Opt_T0,Opt_Q,Entropy_R,Corr_Horizontal_R,Corr_Vertical_R,Corr_Diagonal_R,NPCR_R (%),UACI_R (%),Entropy_G,Corr_Horizontal_G,Corr_Vertical_G,Corr_Diagonal_G,NPCR_G (%),UACI_G (%),Entropy_B,Corr_Horizontal_B,Corr_Vertical_B,Corr_Diagonal_B,NPCR_B (%),UACI_B (%),Entropy,Corr_Horizontal,Corr_Vertical,Corr_Diagonal,NPCR (%),UACI (%),MSE_Dec,PSNR_Dec,Enc_Time (s),Dec_Time (s),HO_Time (s),Lossless
I04_04_01.png,high,0.000443,3.65957,0.00976,2188,155,7.99908,-0.00055,0.00252,0.00029,99.31691,33.46908,7.99922,0.00019,0.00042,0.00076,99.27775,33.4271,7.99928,-0.00115,0.00093,-0.00026,99.29657,33.4198,7.99919,-0.0005,0.00129,0.00026,99.29708,33.43866,0.0,inf,0.4437,0.4123,545.2,True
I05_01_02.png,high,0.000281,3.99,0.00951,500,201,7.99913,-0.00047,6e-05,0.0001,99.15568,33.39291,7.99905,-0.00038,0.00063,-0.00096,99.25537,33.50465,7.99904,0.00035,1e-05,0.00106,99.28131,33.45993,7.99908,-0.00017,0.00023,7e-05,99.23079,33.4525,0.0,inf,0.4303,0.4261,533.85,True
I05_20_02.png,high,0.000395,3.57,0.00177,1172,39,7.99903,-0.00067,0.0003,0.00045,99.30725,33.44131,7.99908,0.00017,0.00036,0.00271,99.3042,33.48214,7.99893,-0.00059,0.00075,1e-05,99.29148,33.47248,7.99902,-0.00036,0.00047,0.00106,99.30098,33.46531,0.0,inf,0.4121,0.4186,541.37,True
I08_18_01.png,high,0.000415,3.9899,0.01,1177,65,7.99906,-0.00012,0.00174,0.00035,98.67706,33.57085,7.9989,-0.00041,0.00034,0.00119,98.70555,33.38407,7.99924,-0.00143,-0.00023,0.0006,98.69792,33.44052,7.99907,-0.00065,0.00062,0.00071,98.69351,33.46515,0.0,inf,0.4267,0.4225,555.06,True
I13_17_03.png,high,0.000434,3.99,0.0086,518,1,7.99908,-0.00063,-0.00075,-0.00012,99.4044,33.4963,7.99926,-0.00052,0.00126,0.00171,99.43797,33.42586,7.99897,-0.00012,-0.00102,0.00068,99.42474,33.49635,7.9991,-0.00042,-0.00017,0.00076,99.42237,33.47284,0.0,inf,0.4288,0.4438,547.91,True
I15_19_02.png,high,0.000422,3.68385,0.0036,574,82,7.99907,-0.001,-0.00213,-0.00024,99.21773,33.42379,7.99904,-0.00045,0.0007,-0.00074,99.24215,33.49485,7.9991,-3e-05,-0.00016,0.00109,99.20603,33.43893,7.99907,-0.00049,-0.00053,4e-05,99.22197,33.45252,0.0,inf,0.4131,0.4286,546.02,True
I16_16_01.png,high,0.00037,3.57,0.0,500,28,7.99906,-0.00014,-0.00021,5e-05,99.22384,33.4299,7.99898,0.00159,0.00114,-0.00043,99.23299,33.49788,7.99903,-0.00058,-0.00061,-0.0008,99.24164,33.42091,7.99902,0.00029,0.00011,-0.0004,99.23282,33.44956,0.0,inf,0.4315,0.426,544.21,True
I16_18_05.png,high,0.000327,3.70211,0.01,500,11,7.99906,-0.0006,-0.00056,0.0,98.79049,33.42958,7.99914,-0.00057,-0.00098,8e-05,98.8266,33.47561,7.99911,-0.00048,-0.0004,0.00119,98.77981,33.4769,7.9991,-0.00055,-0.00065,0.00042,98.79896,33.4607,0.0,inf,0.4145,0.4327,538.41,True
I21_06_02.png,high,0.000345,3.99,0.0,731,1,7.9992,-1e-05,0.00087,-0.00015,99.30216,33.35507,7.99908,-0.00079,-0.00072,-0.00045,99.26656,33.56769,7.99922,0.00116,-9e-05,0.00105,99.27317,33.48782,7.99917,0.00012,2e-05,0.00015,99.28063,33.47019,0.0,inf,0.4242,0.437,554.16,True
I26_04_01.png,high,0.000483,3.57,0.00178,500,1,7.99924,-0.00043,0.00054,-0.00141,99.2396,33.38383,7.99914,0.00207,0.00045,0.00146,99.25944,33.48012,7.9992,-0.00052,0.00048,-0.00042,99.25181,33.51107,7.99919,0.00037,0.00049,-0.00012,99.25028,33.45834,0.0,inf,0.4174,0.4211,538.13,True
I26_05_01.png,high,0.000407,3.99,0.00254,1544,1,7.99922,0.00241,-0.00016,-0.0007,99.1567,33.50393,7.99917,-0.00018,0.00083,0.00083,99.17247,33.56634,7.99913,-0.00027,0.00023,-0.0008,99.14602,33.50221,7.99917,0.00066,0.0003,-0.00023,99.15839,33.52416,0.0,inf,0.4084,0.4218,538.31,True
I27_17_04.png,high,0.000318,3.88125,0.00171,1738,133,7.9991,-0.00018,-0.0003,0.0003,99.0153,33.37978,7.9991,0.00023,-1e-05,-0.00164,99.01479,33.46528,7.99908,-0.00086,-0.0006,-0.0006,99.00309,33.43044,7.99909,-0.00027,-0.0003,-0.00065,99.01106,33.42517,0.0,inf,0.4199,0.423,541.2,True
